Cadena,naics_6,naics_description,cmdCode,complex_index
Back end,334412,334412. Bare Printed Circuit Board Manufacturing,853400,1.03
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,381800,2.37
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,852352,1.33
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854110,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854121,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854129,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854130,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854140,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854150,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854190,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854231,0.948
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854233,0.948
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854239,0.948
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854290,0.948
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",850431,0.581
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",850432,0.581
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",850450,0.581
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",851680,0.537
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",852990,0.74
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853210,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853221,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853222,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853223,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853224,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853225,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853229,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853230,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853290,0.966
