id,cmdCode,Label,proximity
1,854239,SEMICONDUCTOR,10.0
2,900691,"Cameras, phot",8.0
3,852859,Monitors othe,7.0
4,911012,Watches; inco,7.0
5,911180,Watch cases; ,7.0
6,852351,Semiconductor,7.0
7,854232,Electronic in,7.0
8,741011,"Copper; foil,",6.0
9,390320,Styrene polym,6.0
10,911011,Watches; comp,6.0
11,292212,Amino-alcohol,6.0
12,700600,Glass of head,5.0
13,871494,Cycles; parts,5.0
14,847329,Machinery; pa,5.0
15,900211,Lenses; objec,5.0
16,852869,Projectors; n,5.0
17,210310,Sauces; soya,5.0
18,290513,Alcohols; sat,5.0
19,392093,Plastics; pla,5.0
20,848640,Machines and ,5.0
21,903141,Optical instr,5.0
22,680423,"Millstones, g",5.0
23,710122,Pearls; cultu,5.0
24,440729,"Wood, tropica",5.0
25,960891,Pens; nibs an,5.0
26,400251,Rubber; synth,5.0
27,370199,Photographic ,5.0
28,900699,Photographic ,5.0
