cmdCode,cmdDescE,proximity
900691,"Cameras, photographic (excluding cinematographic); parts and accessories",0.7142857142857143
852859,Monitors other than cathode-ray tube; other than of a kind solely or principally used in an automatic data processing system of heading 84.71,0.6666666666666666
911012,"Watches; incomplete movements, assembled",0.6666666666666666
911180,Watch cases; n.e.c. in heading no. 9111,0.6666666666666666
852351,"Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37",0.6666666666666666
854232,Electronic integrated circuits; memories,0.625
741011,"Copper; foil, not backed, of a thickness not exceeding 0.15mm, of refined copper",0.5714285714285714
390320,"Styrene polymers; styrene-acrylonitrile (SAN) copolymers, in primary forms",0.5714285714285714
911011,"Watches; complete movements, unassembled or partly assembled (movement sets)",0.5714285714285714
292212,"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, diethanolamine and its salts",0.5555555555555556
160563,"Aquatic invertebrates; jellyfish, prepared or preserved",0.5
950639,Golf equipment; other than clubs and balls,0.5
911490,"Clock or watch parts; other than springs (including hairsprings), dials, plates, and bridges",0.5
290723,"Polyphenols; 4,4'-isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts",0.5
900699,"Photographic flashlight apparatus; parts and accessories, for other than cameras",0.5
370199,"Photographic plates and film; (for other than colour photography), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles",0.5
400251,"Rubber; synthetic, acrylonitrile-butadiene rubber (NBR), latex, in primary forms or in plates, sheets or strip",0.5
960891,Pens; nibs and nib points,0.5
440729,"Wood, tropical; as specified in Subheading Note 2 to this Chapter, n.e.c. in item no. 4407.2, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, thicker than 6mm",0.5
710122,"Pearls; cultured, worked, whether or not graded (but not strung, mounted or set), temporarily strung for the convenience of transport",0.5
847329,"Machinery; parts and accessories of the machines of item no. 8470.30. 8470.50 or 8470.90 (other than covers, carrying cases and the like)",0.5
903141,"Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90",0.5
848640,"Machines and apparatus of a kind used solely or principally for the manufacture or repair of masks and reticles, assembling semiconductor devices or electronic integrated circuits, or for lifting, handling, loading or unloading items of heading 8486",0.5
392093,"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of amino-resins, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",0.5
290513,"Alcohols; saturated monohydric, butan-1-ol (n-butyl alcohol)",0.5
210310,Sauces; soya,0.5
852869,"Projectors; n.e.c. in subheading 8528.62, whether or not colour",0.5
900211,"Lenses; objective, for cameras, projectors or photographic enlargers or reducers, mounted, being parts or fittings for instruments or apparatus, of any material (excluding glass not optically worked)",0.5
680423,"Millstones, grindstones, grinding wheels and the like; of natural stone",0.5
871494,"Cycles; parts thereof, brakes, including coaster braking hubs and hub-brakes, and parts thereof",0.5
700600,"Glass of heading no. 7003, 7004 or 7005; bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed or fitted with other materials",0.5
853690,"Electrical apparatus; n.e.c. in heading no. 8536, for switching or protecting electrical circuits, for a voltage not exceeding 1000 volts",0.45454545454545453
903040,"Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)",0.4444444444444444
292215,"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, triethanolamine",0.4444444444444444
290243,Cyclic hydrocarbons; p-xylene,0.4444444444444444
390330,"Styrene polymers; acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",0.4444444444444444
911290,"Clock cases and similar cases for other goods of chapter 91; other than watch cases, parts thereof",0.42857142857142855
910990,"Clock movements; complete and assembled, other than electrically operated",0.42857142857142855
911430,Clock or watch parts; dials,0.42857142857142855
290941,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; 2,2-oxydiethanol (diethylene glycol, digol)",0.42857142857142855
850511,"Magnets; permanent magnets and articles intended to become permanent magnets after magnetisation, of metal",0.42857142857142855
290517,"Alcohols; saturated monohydric, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)",0.42857142857142855
848690,Machines and apparatus of heading 8486; parts and accessories,0.42857142857142855
844331,"Printing, copying, and facsimile machines; machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network",0.42857142857142855
911220,Clock cases and similar cases for other goods of chapter 91; other than watch cases,0.42857142857142855
844399,"Printing machinery; parts and accessories, n.e.c. in item no. 8443.91",0.42857142857142855
390610,"Acrylic polymers; poly(methyl methacrylate), in primary forms",0.42857142857142855
731940,Safety pins and other pins; of iron or steel,0.42857142857142855
140120,Rattans used primarily for plaiting,0.42857142857142855
290516,"Alcohols; saturated monohydric, octanol (octyl alcohol) and isomers thereof",0.4
390710,Polyacetals; in primary forms,0.4
852859,"Monitors other than cathode-ray tube; n.e.c. in subheading 8528.52, whether or not colour",0.4
844339,"Printing, copying, and facsimile machines; single-function printing, copying or facsimile machines, not capable of connecting to an automatic data processing machine or to a network",0.4
740919,"Copper; plates and sheets, of a thickness exceeding 0.15mm, of refined copper, not in coils",0.4
900659,"Cameras, photographic (excluding cinematographic); n.e.c. in heading no 9006",0.4
950730,Fishing reels,0.4
844332,"Printing, copying, and facsimile machines; single-function printing, copying or facsimile machines, capable of connecting to an automatic data processing machine or to a network",0.4
800300,"Tin; bars, rods, profiles and wire",0.38461538461538464
900651,"Cameras, photographic (excluding cinematographic); with a through-the-lens viewfinder, single lens reflex (SLR), for a roll film of a width not exceeding 35mm",0.38461538461538464
292211,"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, monoethanolamine and its salts",0.375
320416,Dyes; reactive dyes and preparations based thereon,0.375
382530,"Residual products of the chemical or allied industries, not elsewhere specified or included; clinical waste",0.375
390599,"Vinyl acetate, vinyl ester polymers, vinyl polymers; n.e.c. in heading no. 3905, in primary forms, other than copolymers",0.375
741012,"Copper; foil, not backed, of a thickness not exceeding 0.15mm, of copper alloys",0.375
291521,Acids; saturated acyclic monocarboxylic acids; acetic acid,0.375
540246,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polyesters (not high tenacity or textured), partially oriented, single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread",0.375
701590,"Glasses; clock or watch and similar, glasses for non-corrective spectacles, curved, bent, hollowed etc, (not optically worked), hollow glass spheres and segments, for the manufacture of such glasses",0.375
290943,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; monobutyl ethers of ethylene glycol or of diethylene glycol",0.375
290531,"Alcohols; acyclic, diols; ethylene glycol (ethanediol)",0.375
900490,"Spectacles, goggles and the like; (other than sunglasses) corrective, protective or other",0.375
382370,Industrial fatty alcohols,0.375
847010,"Calculating machines; electronic calculators capable of operation without an external source of electric power and pocket-size data recording, reproducing and displaying machines with calculating functions",0.36363636363636365
847021,"Calculating machines; electronic, incorporating a printing device, needing an external source of power",0.36363636363636365
847321,"Calculating machines; parts and accessories of the electronic calculating machines of item no. 8470.10, 8470.21 or 8470.29 (other than covers, carrying cases and the like)",0.36363636363636365
681280,"Fabricated crocidolite (blue asbestos) fibres, mixtures with a basis of crocidolite (blue asbestos), articles of crocidolite (blue asbestos), whether or not reinforced, not goods of heading 6811 or 6813",0.36363636363636365
871496,"Cycles; parts, pedals and crank-gear, and parts thereof",0.36363636363636365
847170,Units of automatic data processing machines; storage units,0.36363636363636365
845290,"Sewing machines; furniture, bases and covers for sewing machines and parts thereof, and other parts of sewing machines",0.36363636363636365
847150,"Units of automatic data processing machines; processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units",0.36363636363636365
903084,"Instruments and apparatus; n.e.c. in heading no. 9030, with a recording device",0.35714285714285715
900290,"Optical elements; n.e.c. in heading no. 9002 (e.g. prisms and mirrors), mounted, being parts or fittings for instruments or apparatus, of any material (excluding elements of glass not optically worked)",0.35714285714285715
910299,"Pocket watches and other watches, including stop-watches; (excluding wrist-watches), other than those of heading no. 9101, other than electrically operated",0.3333333333333333
852359,"Semiconductor media; other than smart cards, whether or not recorded, excluding products of Chapter 37",0.3333333333333333
230650,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of coconut or copra seed oils",0.3333333333333333
851711,Line telephone sets with cordless handsets,0.3333333333333333
410631,"Tanned or crust hides and skins; of swine, without hair on, whether or not split, but not further prepared, in the wet state (including wet blue)",0.3333333333333333
911120,"Watch cases; of base metal, whether or not gold-plated or silver-plated",0.3333333333333333
811213,Beryllium; waste and scrap,0.3333333333333333
120710,"Oil seeds; palm nuts and kernels, whether or not broken",0.3333333333333333
151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",0.3333333333333333
961519,"Combs, hair slides and the like; of other than hard rubber or plastics",0.3333333333333333
560391,"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing not more than 25g/m2)",0.3333333333333333
852550,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating sound recording or reproducing apparatus, not incorporating reception apparatus",0.3333333333333333
741021,"Copper; foil, backed with paper, paperboard, plastics or similar backing material, of a thickness (excluding any backing) not exceeding 0.15mm, of refined copper",0.3333333333333333
961700,"Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners",0.3333333333333333
740929,"Copper; plates and sheets, of a thickness exceeding 0.15mm, of copper-zinc base alloys (brass), not in coils",0.3333333333333333
740990,"Copper; plates, sheets and strip, of a thickness exceeding 0.15mm, of copper alloys (other than copper-zinc base alloys, copper-tin base alloys, copper-nickel base alloys or copper-nickel-zinc base alloys)",0.3333333333333333
901110,"Microscopes, compound optical; stereoscopic microscopes",0.3333333333333333
911310,"Watch straps, watch bands, watch bracelets, and parts thereof; of precious metal or of metal clad with precious metal",0.3333333333333333
901390,Optical appliances and instruments; parts and accessories for articles of heading no. 9013,0.3333333333333333
151321,"Vegetable oils; palm kernel or babassu oil and their fractions, crude, not chemically modified",0.3333333333333333
845210,Sewing machines; of the household type,0.3333333333333333
851650,"Ovens; microwave, of a kind used for domestic purposes",0.3333333333333333
910812,"Watch movements; complete and assembled, electrically operated, by means of solar cells, with opto-electronic display",0.3333333333333333
910819,"Watch movements; complete and assembled, electrically operated, by means of solar cells, without mechanical display or device including such or opto-electronic display",0.3333333333333333
261220,Thorium ores and concentrates,0.3333333333333333
800120,"Tin; unwrought, alloys",0.3333333333333333
710420,"Stones; precious or semi-precious, synthetic or reconstructed, (not piezo-electric quartz), unworked or simply sawn, roughly shaped, (not strung, mounted or set), temporarily strung for transport convenience",0.3333333333333333
370241,"Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m (other than of paper, paperboard or textiles)",0.3333333333333333
370242,"Photographic film; in rolls, (other than for colour photography), sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m (other than of paper, paperboard or textiles)",0.3333333333333333
370244,"Photographic film; in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 105mm but not exceeding 610mm (other than of paper, paperboard or textiles)",0.3333333333333333
850610,"Cells and batteries; primary, manganese dioxide",0.3333333333333333
320730,Lustres; liquid lustres and similar preparations,0.3333333333333333
900669,Photographic flashlight apparatus; n.e.c. in heading no. 9006,0.3333333333333333
910820,"Watch movements; complete and assembled, with automatic winding",0.3333333333333333
901050,"Photographic laboratory apparatus and equipment; n.e.c. in item no. 9010.10, for photographic (including cinematographic) laboratories; negatoscopes",0.3333333333333333
280450,Boron; tellurium,0.3333333333333333
911090,"Clocks; movements, whether or not complete, incomplete, assembled or unassembled",0.3333333333333333
852329,"Magnetic media; other than cards incorporating a magnetic stripe, whether or not recorded, excluding products of Chapter 37",0.3333333333333333
291411,"Ketones; acyclic, without other oxygen function, acetone",0.3333333333333333
830130,"Locks; of a kind used for furniture (key, combination or electrically operated), of base metal",0.3333333333333333
440349,"Wood, tropical; as specified in Subheading Note 2 to this Chapter, other than dark red meranti, light red meranti and meranti bakau, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated",0.3333333333333333
160418,"Fish preparations; shark fins, prepared or preserved, whole or in pieces (but not minced)",0.3333333333333333
900120,"Optical elements; polarising material, sheets and plates thereof",0.3333333333333333
960622,"Buttons; of base metal, not covered with textile material",0.3333333333333333
911110,Watch cases; of precious metal or of metal clad with precious metal,0.3333333333333333
410632,"Tanned or crust hides and skins; of swine, without hair on, whether or not split, but not further prepared, in the dry state (crust)",0.3333333333333333
851090,Shavers and hair clippers; parts of those with self-contained electric motor,0.3333333333333333
901380,"Optical devices, appliances and instruments; n.e.c. in heading no. 9013 (including liquid crystal devices)",0.3333333333333333
732690,Iron or steel; articles n.e.c.in heading 7326,0.3333333333333333
280200,"Sulphur; sublimed or precipitated, colloidal sulphur",0.3333333333333333
400700,"Rubber; vulcanised, thread and cord",0.3333333333333333
400280,"Rubber; mixtures of natural and synthetic rubbers of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",0.3333333333333333
854011,"Tubes; cathode-ray television picture tubes, including video monitor cathode-ray tubes, colour",0.3333333333333333
284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",0.3333333333333333
847160,"Units of automatic data processing machines; input or output units, whether or not containing storage units in the same housing",0.3333333333333333
841510,"Air conditioning machines; comprising a motor-driven fan and elements for changing the temperature and humidity, window or wall types, self-contained or split-system",0.3333333333333333
121120,"Ginseng roots, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered",0.3333333333333333
841510,"Air conditioning machines; comprising a motor-driven fan and elements for changing the temperature and humidity, of a kind designed to be fixed to a window, wall, ceiling or floor, self-contained or split-system",0.3333333333333333
701400,"Glassware; signalling, (not optically worked)",0.3333333333333333
292242,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; glutamic acid and its esters; salts thereof",0.3333333333333333
400220,"Rubber; synthetic, butadiene rubber (BR), in primary forms or in plates, sheets or strip",0.3333333333333333
400110,"Rubber; natural rubber latex, whether or not pre-vulcanised, in primary forms or in plates, sheets or strip",0.3333333333333333
401519,"Rubber; vulcanised (other than hard rubber), gloves, mittens and mitts other than surgical gloves",0.3333333333333333
284180,Salts; tungstates (wolframates),0.3333333333333333
852873,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a monochrome video display or screen",0.3333333333333333
